hanzi,pinyin,meaning,distractor_1,distractor_2,distractor_3,distractor_4,distractor_5,distractor_6,distractor_7,distractor_8,distractor_9,level
薪,xīn,salary,攘,擦,斑,惹,新,薄,菊,摔,撑,HSK6
账,zhàng,accounts,胀,烦,熄,财,涨,狈,购,张,顾,HSK6
掏,tāo,to draw out,揭,捣,攘,摘,拂,鹤,搏,撑,瑰,HSK6
聘,pìn,to engage,摘,搏,鹊,膊,博,靖,蹄,鸭,喂,HSK6
咨,zī,to consult,盗,沿,潜,沼,经,怪,落,客,读,HSK6
哇,wā,wah,吐,菲,苦,罪,睦,莹,罩,芒,盐,HSK6
踢,tī,to kick,锡,蜴,蹬,鲸,惕,躁,蹈,竭,溜,HSK6
踩,cǎi,to step on,睬,深,踝,蹈,稻,裸,剩,跤,咪,HSK6
蹈,dǎo,to tread,谣,蹬,稻,踢,摇,蹄,踩,睬,鲸,HSK6
厕,cè,toilet,顾,顽,顺,则,侧,愿,测,赐,箭,HSK6
醋,cù,vinegar,酷,醒,酣,蜡,晒,措,醇,暗,增,HSK6
帝,dì,supreme ruler,节,帘,寺,宰,常,蒂,南,苛,菩,HSK6
威,wēi,might,咸,成,腹,猴,凤,城,族,慑,戚,HSK6
波,bō,waves,彼,被,菠,驳,渡,发,胶,汰,坡,HSK6
纳,nà,to receive,弦,焰,馅,绍,构,绪,将,缤,劫,HSK6
策,cè,strategy,第,笨,冤,揉,琴,轻,箩,筹,拳,HSK6
税,shuì,tax,锐,榜,桃,悦,就,梳,愣,傍,躲,HSK6
露,lù,dew,霞,蒲,霍,建,擎,辖,霜,整,撑,HSK6
野,yě,wild,舒,踊,蜀,摆,卸,抒,押,瑰,捅,HSK6
剑,jiàn,saber,验,捡,绘,钩,劲,缔,险,综,拎,HSK6
徒,tú,follower,赴,待,赶,往,促,竖,很,寂,尿,HSK6
盛,shèng,flourishing,篮,第,堕,菊,萨,垫,额,越,题,HSK6
纵,zòng,vertical,级,纷,炊,欲,纱,绒,饭,欣,狱,HSK6
障,zhàng,barrier,堕,驾,臂,幕,撞,隔,算,莺,陪,HSK6
妙,miào,wonderful,姊,炒,处,秒,妖,抄,钞,殃,旅,HSK6
撤,chè,to remove,撒,辙,搬,澈,娥,敷,撇,嫩,糠,HSK6
缘,yuán,reason,嫁,毅,豫,缓,竣,凌,敦,级,遂,HSK6
洪,hóng,flood,注,浊,淇,法,汪,洋,汗,滨,油,HSK6
梁,liáng,bridge,染,粱,菜,奕,梨,桨,族,突,秀,HSK6
跃,yuè,to leap,跌,联,铁,袄,秧,球,坎,政,决,HSK6
惨,cǎn,miserable,掺,参,谬,修,渗,寥,鲨,彥,趁,HSK6
践,jiàn,to trample,钱,线,贱,沸,浅,找,残,哦,跤,HSK6
稿,gǎo,draft,槁,桐,霜,程,精,涧,福,课,闸,HSK6
埋,mái,to bury,理,革,萤,挂,错,蛙,审,耻,捍,HSK6
锋,fēng,cutting edge,释,缕,矮,泽,绎,逢,搂,轿,楼,HSK6
牵,qiān,to lead along,窑,盘,奇,竿,卒,墓,暮,窖,翠,HSK6
踏,tà,to step on,跨,竭,垮,拯,碌,掐,缉,渴,绪,HSK6
跨,kuà,to straddle,垮,挎,拷,窃,瑰,骑,惹,踏,弦,HSK6
耀,yào,show off,辉,麟,赚,弊,瓶,嘴,撼,糙,糠,HSK6
氧,yǎng,oxygen,氢,氯,氨,气,急,贰,氛,鼠,凰,HSK6
傲,ào,arrogant,做,敬,敷,辙,糠,徽,焕,艇,撤,HSK6
氛,fēn,atmosphere,筑,凳,氨,穷,氢,筋,院,究,染,HSK6
跪,guì,to kneel,脆,诡,琉,拖,瓶,疏,鸡,鹅,鸦,HSK6
撑,chēng,to prop up,拷,摔,寨,境,摘,挎,塑,捧,揭,HSK6
刮,guā,to scrape,括,话,插,乱,拌,钻,挡,时,沽,HSK6
谐,xié,harmonious,请,楷,饲,馆,悲,涵,诺,闯,惰,HSK6
宠,chǒng,to pamper,穷,庞,寇,旁,冤,弈,孕,宪,究,HSK6
娱,yú,amusement,敲,疾,痪,美,挟,殃,皱,跌,膜,HSK6
蹲,dūn,to squat,遵,薄,琐,搏,壤,螺,揭,蟹,聪,HSK6
炒,chǎo,to stir-fry,炊,纱,妙,伙,钞,砂,炉,烁,沙,HSK6
铅,qiān,lead,船,销,钥,掠,脖,银,碌,谐,插,HSK6
捡,jiǎn,to pick up,脸,俭,拯,险,球,检,除,挟,拴,HSK6
馒,mán,steamed bun,漫,慢,馅,馈,饼,澳,递,毁,邀,HSK6
素,sù,vegetarian,索,累,蒋,絮,穿,茅,悬,寨,窝,HSK6
诸,zhū,various,诺,阁,睹,详,错,堵,奢,率,酒,HSK6
暴,bào,violent,寨,泰,募,撑,塑,清,襄,赛,塞,HSK6
谷,gǔ,valley,俗,径,各,洽,备,衷,爷,名,余,HSK6
残,cán,incomplete,线,钱,浅,拨,叛,我,效,努,绞,HSK6
症,zhèng,disease,瘟,怔,征,悟,炬,谊,库,恒,犀,HSK6
倾,qīng,to incline,领,硕,愣,烦,馈,财,颈,预,懊,HSK6
裂,liè,to split,察,袋,经,袭,铭,该,绪,秽,瑟,HSK6
横,héng,horizontal,种,棵,钟,袖,棋,梯,神,柿,谍,HSK6
赖,lài,to rely on,懒,穗,嗽,糙,镯,确,螺,瀚,獭,HSK6
旋,xuán,to revolve,旗,族,筋,诚,旅,胧,城,烧,熄,HSK6
殖,zhí,to breed,矩,短,辟,姐,痒,胜,狂,结,笛,HSK6
液,yè,liquid,校,铰,该,极,跤,饺,被,俊,核,HSK6
忧,yōu,to worry,优,恍,扰,悦,杭,炖,巩,枕,抗,HSK6
墨,mò,black ink,型,壁,筐,阐,辈,墅,睦,晴,蕾,HSK6
箭,jiàn,arrow,阎,前,闹,惩,篮,恶,预,鸣,精,HSK6
愤,fèn,indignant,惯,愣,馈,喷,慌,损,预,谎,宽,HSK6
磨,mó,to grind,蘑,墓,堡,碧,犀,磊,莓,暮,算,HSK6
截,jié,to sever,载,戳,裁,健,键,栽,藤,携,解,HSK6
牲,shēng,domestic animal,胜,讲,挫,姓,拌,娃,特,堆,菇,HSK6
跌,diē,to tumble,铁,跃,联,秩,埃,殃,致,挟,诀,HSK6
辉,huī,radiant,耀,德,糙,谎,梳,弊,硫,麟,篮,HSK6
鉴,jiàn,ancient bronze mirror,签,拳,盗,裂,绪,筝,策,盔,轻,HSK6
阔,kuò,broad,谨,闸,津,谣,阐,浑,稿,蒲,肆,HSK6
牢,láo,jail,窑,车,竿,半,宝,罕,至,军,芒,HSK6
欺,qī,to deceive,砍,钦,软,欢,欲,铁,殃,坎,吹,HSK6
钻,zuān,to drill,铝,扫,在,扯,钳,扛,针,怕,壮,HSK6
绘,huì,to paint,铃,拎,徐,玲,祭,经,给,俭,冷,HSK6
墓,mù,grave,暮,碧,垦,菩,窖,幕,普,署,章,HSK6
搭,dā,put up,塔,拾,拴,掐,拓,挫,荐,蓉,谋,HSK6
挖,wā,to dig,挎,杂,抒,拷,窃,舵,弦,吃,垮,HSK6
酷,kù,strong,醋,醒,酣,晒,蜡,堪,措,醇,担,HSK6
棉,mián,cotton,桐,锦,档,梢,槁,棕,精,框,怖,HSK6
挨,ái,to suffer,埃,换,挽,挺,投,葵,挟,设,揉,HSK6
谅,liàng,to forgive,惊,凉,晾,棕,讶,亲,评,词,诗,HSK6
榜,bǎng,roster,梯,傍,槐,愣,梅,磅,税,模,辣,HSK6
傍,bàng,close to,榜,筑,愣,磅,候,伤,第,筋,镑,HSK6
煮,zhǔ,to boil,蕉,淇,蒸,缤,羔,装,滨,堤,缉,HSK6
宗,zōng,religion,祟,京,崇,亲,票,守,帘,示,宇,HSK6
藏,cáng,to store,戚,兢,戴,唬,越,谎,碳,规,慌,HSK6
港,gǎng,harbor,淆,淹,潦,涛,涂,济,浅,浇,沸,HSK6
塔,tǎ,pagoda,搭,堵,诺,错,坏,荐,谋,蓉,拾,HSK6
遭,zāo,to meet with misfortune,遣,道,谴,逼,遇,谭,避,聘,适,HSK6
塞,sāi,to stuff into,奉,羞,差,墓,整,幕,替,塑,望,HSK6
涉,shè,to wade,淀,渺,须,沙,涕,渡,汤,涂,滔,HSK6
爆,bào,to explode,慷,炼,赚,烤,承,锡,墟,惭,歇,HSK6
恰,qià,exactly,拾,哈,作,怡,合,杏,保,佑,恨,HSK6
旗,qí,flag,旋,旅,熄,辨,颇,撕,媳,城,舷,HSK6
储,chǔ,to store up,衔,祷,僚,馅,粹,倦,诸,赌,传,HSK6
坡,pō,slope,玻,圾,披,玫,破,被,技,彼,拔,HSK6
铺,pù,shop,辅,锦,桶,锤,踊,辖,籍,蒲,搏,HSK6
铜,tóng,copper,饲,洞,滴,桐,询,词,剥,润,躺,HSK6
嫌,xián,to dislike,嫩,敷,姨,橄,歉,铸,沸,镶,瘫,HSK6
滴,dī,drop,润,饲,演,溃,涧,溜,铜,淌,淳,HSK6
顽,wán,stubborn,顾,愿,颊,厕,烦,顺,顿,硕,倾,HSK6
骄,jiāo,proud,验,烧,疑,骚,矫,饶,猴,族,烤,HSK6
谦,qiān,modest,祷,棒,储,赚,铸,衔,廉,锡,锤,HSK6
薯,shǔ,potato,署,暮,幕,暑,墓,碧,著,董,辐,HSK6
督,dū,to superintend,肾,春,替,暑,窘,暮,暂,奢,眷,HSK6
疾,jí,sickness,痪,殃,族,瘦,夹,挟,疮,侠,疫,HSK6
绪,xù,thread ends,猪,裂,铭,筝,缩,缅,缤,转,经,HSK6
崇,chóng,worship,祟,宗,票,亲,尝,京,诗,挡,评,HSK6
添,tiān,to increase,淀,澄,深,涕,浏,粱,涛,冻,滋,HSK6
赌,dǔ,to gamble,贿,侮,悔,诸,焊,储,愧,痴,履,HSK6
懒,lǎn,lazy,赖,糙,嗽,糊,榴,糖,稳,械,穗,HSK6
趟,tàng,trip,唠,趋,越,超,碳,躺,想,题,弊,HSK6
镇,zhèn,at ease,慎,填,禅,特,错,砖,梅,碎,脾,HSK6
欲,yù,desire,钦,欢,砍,欺,炊,秋,饮,软,次,HSK6
愉,yú,pleased,榆,偷,喻,渝,徐,御,逾,例,除,HSK6
歉,qiàn,apology,键,软,健,漱,锹,徽,糠,嫌,钦,HSK6
赚,zhuàn,to earn,赎,颖,镰,贿,廉,爆,辨,赐,耀,HSK6
憾,hàn,regret,械,慨,撼,德,概,诫,颖,锁,稳,HSK6
额,é,forehead,庭,第,颊,菊,谤,橙,磅,舔,颈,HSK6
川,chuān,stream,灿,仙,归,卉,加,厅,库,屉,片,HSK7-9
臣,chén,feudal subject,正,王,百,早,旧,里,面,干,亩,HSK7-9
乃,nǎi,to be,力,方,仍,刀,万,刃,历,为,凡,HSK7-9
丁,dīng,fourth,宁,于,亏,叮,子,盯,卫,厅,打,HSK7-9
瓦,wǎ,tile,尝,毕,鸟,窍,乌,些,亲,守,氓,HSK7-9
尸,shī,corpse,厂,严,启,庙,眉,石,届,厅,匠,HSK7-9
曰,yuē,to say,巨,吕,回,旧,呈,日,旦,口,百,HSK7-9
吕,lǚ,spine,巨,曰,旦,回,豆,吾,吉,呈,日,HSK7-9
晶,jīng,crystal,兽,胃,唱,富,高,罩,堂,宫,皇,HSK7-9
卜,bǔ,divination,扑,卡,仆,计,下,什,乍,让,者,HSK7-9
舟,zhōu,boat,丹,府,茄,苟,芳,宪,思,舶,守,HSK7-9
弓,gōng,bow,亏,号,与,引,丐,可,写,司,宁,HSK7-9
爪,zhǎo,claw,瓜,抓,八,扒,分,叭,仍,力,介,HSK7-9
勿,wù,not,匆,灰,劝,办,旅,奶,初,贩,灼,HSK7-9
丐,gài,beggar,亏,号,马,弓,宇,于,可,宝,宁,HSK7-9
凸,tū,convex,卓,占,宫,芒,吕,品,叶,固,官,HSK7-9
凹,āo,concave,画,回,唱,曰,固,国,可,间,凸,HSK7-9
禾,hé,grain,术,木,朱,余,长,未,宋,末,企,HSK7-9
尼,ní,nun,疤,屁,皂,它,苟,肩,尾,局,有,HSK7-9
刘,liú,Liu,对,决,郊,咬,这,液,好,亦,球,HSK7-9
姆,mǔ,nanny,媳,媲,婿,婚,螃,嫦,妈,猛,瑰,HSK7-9
雅,yǎ,elegant,稚,糙,榜,梅,难,槐,魄,梯,橘,HSK7-9
仙,xiān,immortal,征,灿,佳,什,悼,证,忙,仁,悍,HSK7-9
轰,hōng,to rumble,接,衷,妻,姜,麦,萎,夏,奏,葵,HSK7-9
孔,kǒng,hole,扎,北,轧,礼,比,批,拧,花,吼,HSK7-9
艾,ài,Chinese mugwort,丈,支,哎,友,仗,皮,文,叹,肢,HSK7-9
泰,tài,tranquil,暴,寨,潜,澄,裹,秦,落,裂,涩,HSK7-9
津,jīn,saliva,律,蒲,谨,洋,阔,裙,肆,灌,谁,HSK7-9
仁,rén,benevolence,信,忙,否,何,侄,亡,让,什,佳,HSK7-9
邦,bāng,nation,那,都,郑,郁,邪,部,耶,限,邮,HSK7-9
秦,qín,Qin,奏,拳,奉,轻,集,养,怪,读,嗓,HSK7-9
奴,nú,slave,双,妓,放,牧,效,妖,驭,饭,扳,HSK7-9
甘,gān,sweet,廿,土,古,苗,且,丰,中,百,士,HSK7-9
霍,huò,suddenly,霜,望,辈,奉,筐,请,羞,霉,掌,HSK7-9
氏,shì,family name,式,手,低,宅,斥,丢,先,民,丧,HSK7-9
凤,fèng,male phoenix,咸,风,成,伤,威,尿,伪,庞,为,HSK7-9
桑,sāng,mulberry,柔,嗓,奏,案,萎,委,绎,揉,娶,HSK7-9
仇,chóu,animosity,优,伪,机,仿,仍,饥,伤,凡,忧,HSK7-9
邪,xié,evil,郁,廊,那,邦,郎,都,郭,限,部,HSK7-9
巡,xún,patrol,淡,淫,遂,谈,姿,浅,逐,迹,涤,HSK7-9
剂,jì,dose,傍,宠,判,伤,榜,灯,唉,究,养,HSK7-9
孟,mèng,first month of the season,宝,军,享,芒,窑,宰,窖,谊,室,HSK7-9
邓,dèng,Deng,郑,郊,邻,郎,邦,限,那,廊,邪,HSK7-9
匆,cōng,hurried,勿,残,疲,叛,泼,波,效,焦,级,HSK7-9
廷,tíng,royal court,延,联,致,敌,送,授,竖,葵,政,HSK7-9
鸣,míng,to chirp,呜,鹊,鸭,息,捣,鸽,喝,恩,莺,HSK7-9
屈,qū,bend,届,岸,压,居,厘,庄,缸,臣,屉,HSK7-9
戈,gē,halberd,伐,尧,坟,攻,女,龙,艾,矣,玫,HSK7-9
冯,féng,Feng,泻,凉,码,弘,污,蚂,玛,妈,驼,HSK7-9
岂,qǐ,how,屯,岩,卓,苛,号,芭,已,宫,宜,HSK7-9
拳,quán,fist,秦,寨,筹,奉,塞,第,筝,攀,策,HSK7-9
隶,lì,slave,表,录,衷,装,丧,蛋,求,衰,葵,HSK7-9
仆,pú,servant,什,朴,补,扑,卜,仔,付,何,怀,HSK7-9
闷,mēn,stuffy,碗,惋,就,豌,恶,恋,览,预,既,HSK7-9
妥,tuǒ,appropriate,受,爱,委,采,姿,馁,发,跤,液,HSK7-9
耕,gēng,to plow,碟,韩,整,罐,犁,谍,辣,铺,桶,HSK7-9
斥,chì,to reprimand,斤,芹,所,诉,尽,垢,兵,折,长,HSK7-9
汪,wāng,puddle,汗,注,油,江,沽,沾,浊,洁,沮,HSK7-9
枚,méi,small object,权,枝,牧,极,板,校,杖,玫,处,HSK7-9
盯,dīng,to stare at,叮,呵,可,卫,吁,于,问,宁,节,HSK7-9
忌,jì,to shun,悬,急,怎,宽,意,挖,惹,毙,鸦,HSK7-9
鹏,péng,mythological bird,鹅,唬,舰,鸦,腕,鹤,腾,骗,施,HSK7-9
吻,wěn,to kiss,物,狮,畅,砌,锡,狗,哟,肠,咧,HSK7-9
奸,jiān,treacherous,姑,姓,妇,菇,如,娃,狂,姐,好,HSK7-9
泄,xiè,discharge,油,浩,茫,洁,汪,沽,注,浊,诺,HSK7-9
驳,bó,to refute,骇,波,骏,菠,嫂,绞,狡,效,泼,HSK7-9
咽,yān,throat,呕,困,团,框,菌,捆,匿,唱,函,HSK7-9
勾,gōu,cross out,幻,弦,纪,沟,窃,访,动,为,钩,HSK7-9
畏,wèi,to fear,袁,丧,哀,桌,莫,衰,呆,芽,良,HSK7-9
冈,gāng,ridge,区,岗,丙,京,抠,卤,牙,空,团,HSK7-9
斑,bān,spot,蜓,琐,壤,薪,攘,薄,螺,班,球,HSK7-9
扯,chě,to pull,址,扛,捏,掉,拄,牡,在,钻,措,HSK7-9
辽,liáo,distant,过,迎,还,退,迁,近,仔,边,拧,HSK7-9
朴,pǔ,plain,补,杯,林,根,杆,棺,扑,仆,怀,HSK7-9
孕,yùn,pregnant,李,序,学,字,夸,宠,茅,窝,旁,HSK7-9
驰,chí,to gallop,弛,驼,施,跪,能,她,鸦,鹅,胞,HSK7-9
匠,jiàng,craftsman,因,卤,团,囚,西,当,告,石,压,HSK7-9
芝,zhī,sesame,之,朵,眨,乏,芥,头,侯,柴,宋,HSK7-9
讶,yà,surprised,呀,谅,待,诗,评,悄,偿,腔,棕,HSK7-9
耻,chǐ,shame,壮,证,钻,谊,扛,扯,语,盐,在,HSK7-9
虹,hóng,rainbow,蛙,址,堪,扯,虾,牡,捏,咕,甚,HSK7-9
崩,bēng,to collapse,舶,腊,朝,朋,脏,房,胡,鹿,期,HSK7-9
匪,fěi,bandit,国,固,匿,皇,三,雨,量,堂,罪,HSK7-9
兆,zhào,omen,永,挑,泥,水,求,访,沧,论,逃,HSK7-9
耍,shuǎ,mess around,婴,第,损,婪,惠,策,弊,预,赛,HSK7-9
淮,huái,Huai,准,洋,渔,谁,澄,潘,涕,惟,湘,HSK7-9
玫,méi,rose,攻,坡,政,玻,牧,圾,技,敌,故,HSK7-9
旬,xún,group of ten,句,甸,苟,局,的,厅,旷,矿,另,HSK7-9
鼎,dǐng,cauldron,晴,啃,睛,唱,喧,哇,南,罩,罪,HSK7-9
亩,mǔ,Chinese acre,百,宙,王,干,面,玉,白,甲,吉,HSK7-9
鸦,yā,crow,鸡,捣,搅,揽,鸭,魂,愚,骑,就,HSK7-9
诈,zhà,to swindle,许,洒,酒,计,讨,让,窄,作,证,HSK7-9
厄,è,distress,见,包,危,兄,范,记,甩,冠,冗,HSK7-9
乞,qǐ,to beg,吃,艺,亿,乙,忆,孕,老,屹,序,HSK7-9
衍,yǎn,to develop,衔,裕,涕,符,滔,待,淳,涡,淀,HSK7-9
祈,qí,to pray,析,诉,斩,很,径,拆,听,折,歼,HSK7-9
棚,péng,shed,税,橱,腺,榜,糊,械,俯,概,绷,HSK7-9
栖,qī,perch,柿,牺,捆,棺,晒,棋,柄,桩,酝,HSK7-9
斩,zhǎn,to chop,新,拆,惭,崭,折,斯,护,祈,断,HSK7-9
秃,tū,bald,秀,芬,朵,乔,奖,柴,盆,关,岔,HSK7-9
旱,hàn,drought,早,卓,章,呈,草,靠,罩,皇,辜,HSK7-9
烛,zhú,candle,蚀,独,烘,拱,浊,灶,怯,胡,棋,HSK7-9
骇,hài,to be shocked,驳,骏,级,骆,菠,猿,被,绞,驶,HSK7-9
芯,xīn,core,诧,域,苏,凉,忧,忘,花,蛇,冻,HSK7-9
朽,xiǔ,rotten,材,村,棺,标,和,杯,柱,梯,麻,HSK7-9
佣,yōng,servant,角,拥,佐,促,伊,护,研,徒,脏,HSK7-9
逗,dòu,to tease,造,逞,逼,退,追,寻,误,语,运,HSK7-9
甸,diàn,pasture,旬,句,苟,旷,矿,偶,拘,钙,何,HSK7-9
灿,càn,brilliant,焊,煌,灶,炯,仙,炬,悼,惦,炖,HSK7-9
囚,qiú,prisoner,因,西,巫,四,石,匠,医,齿,卤,HSK7-9
甩,shuǎi,to throw off,旭,无,先,月,厉,电,朋,舟,肥,HSK7-9
叮,dīng,to sting,盯,呵,可,卫,吁,于,宁,丁,问,HSK7-9
弘,hóng,great,冯,弦,诧,询,浪,勾,拘,幻,怎,HSK7-9
屿,yǔ,islet,蚂,峭,吗,坝,码,峙,踪,玛,冯,HSK7-9
妆,zhuāng,makeup,收,好,这,女,枝,敌,按,改,妹,HSK7-9
侣,lǚ,associate,但,启,店,告,铝,岩,石,伯,右,HSK7-9
丫,yā,girl,卜,仆,仔,补,斗,扑,予,孝,辽,HSK7-9
耿,gěng,dedicated,秋,坎,殃,砍,跌,吹,欺,政,欢,HSK7-9
匀,yún,uniform,均,习,访,刁,诉,勺,尽,勾,永,HSK7-9
叭,bā,horn,趴,扒,吩,盼,从,八,吹,认,仍,HSK7-9
拙,zhuō,clumsy,础,蛙,扯,掉,挂,描,措,峙,捏,HSK7-9
稚,zhì,childish,雅,稀,裸,难,粹,谁,棵,释,橙,HSK7-9
芽,yá,sprout,茉,荣,牙,志,卖,畏,某,李,芳,HSK7-9
斧,fǔ,axe,爸,爷,备,这,洛,各,绎,亥,葵,HSK7-9
删,shān,to delete,珊,舰,刷,厕,鹏,赫,辉,蹦,耀,HSK7-9
秉,bǐng,to grasp,渠,果,集,茉,柴,美,衷,兼,坚,HSK7-9
驯,xùn,to tame,端,骗,源,削,峭,剔,驼,煎,靖,HSK7-9
叨,dāo,to chatter,加,历,厉,旬,乃,刃,刑,伤,句,HSK7-9
旭,xù,rising sun,茄,甩,加,疤,助,功,尼,克,见,HSK7-9
枉,wǎng,crooked,桂,柱,杜,杠,柏,杆,相,柜,在,HSK7-9
讥,jī,ridicule,饥,巩,杭,肌,机,凡,为,吭,炕,HSK7-9
竿,gān,pole,牢,窑,苹,牵,座,罕,盘,笛,宰,HSK7-9
蚊,wén,mosquito,蚁,取,哎,玫,技,叹,肢,故,坟,HSK7-9
浊,zhuó,turbid,汪,注,沽,油,汗,淇,洪,活,泄,HSK7-9
扛,káng,to carry on the shoulder,扫,扯,扣,拓,在,钻,苛,节,壮,HSK7-9
杠,gàng,thick stick,杜,枉,棺,柱,杆,桂,相,柜,柏,HSK7-9
崛,jué,to rise abruptly,峙,蝗,掘,蝠,蝙,咖,哑,悼,峭,HSK7-9
抒,shū,to express,拧,拷,茅,抑,挖,花,杂,诧,舒,HSK7-9
徘,pái,to pace back and forth,绯,诽,催,祸,短,律,惟,啡,待,HSK7-9
扒,pá,to rake up,趴,叭,抓,扮,从,扔,坟,换,抄,HSK7-9
芭,bā,fragrant plant,屯,巴,电,岂,克,芦,异,民,皂,HSK7-9
屉,tì,drawer,席,屈,屋,库,罩,屑,岸,悍,惶,HSK7-9
阱,jǐng,pitfall,陡,阵,拼,阴,挫,萨,拐,劫,拌,HSK7-9
闸,zhá,sluice gate,阐,闹,闺,稿,谨,阔,词,蛮,哼,HSK7-9
卉,huì,grass,在,扯,庄,肚,扛,店,片,齿,屯,HSK7-9
弛,chí,to loosen,驰,拖,抱,舵,地,鸦,扼,刨,能,HSK7-9
猖,chāng,ferocious,猎,猩,猜,狸,狂,猫,狠,痕,猾,HSK7-9
驭,yù,to drive a horse,叔,放,殷,散,版,奴,双,取,败,HSK7-9
驮,tuó,to carry on the back,驶,殃,跌,族,歌,驭,娱,耿,涨,HSK7-9
炬,jù,torch,矩,宿,烟,右,坐,昨,怕,昼,柜,HSK7-9
沐,mù,to wash hair,沫,袜,洽,淋,述,还,珠,咪,汰,HSK7-9
酥,sū,shortbread,琳,蛛,珠,袜,麻,稣,抹,析,株,HSK7-9
诽,fěi,to slander,诺,啡,徘,诸,语,详,讳,惜,酒,HSK7-9
撬,qiào,to pry open,橇,搀,攘,携,稽,挚,撑,挣,撼,HSK7-9
刁,diāo,tricky,习,叼,匀,记,订,句,了,污,比,HSK7-9
冗,rǒng,superfluous,几,凡,咒,兄,元,九,见,吭,刀,HSK7-9
阂,hé,to obstruct,阁,率,容,奉,鉴,傻,累,筐,秦,HSK7-9
罗,luó,gauze,岁,歹,步,箩,萝,桨,泉,列,夜,HSK7-9
州,zhōu,state,训,灿,怀,恨,位,仆,吵,灶,忧,HSK7-9
亦,yì,also,尔,东,乐,灯,访,刘,你,杀,求,HSK7-9
泽,zé,swamp,济,译,潘,淆,涂,浸,凌,漫,潦,HSK7-9
伦,lún,human relations,论,抡,依,伐,价,衣,份,处,仓,HSK7-9
杨,yáng,poplar,扬,畅,肠,场,砌,初,瑟,锡,物,HSK7-9
刑,xíng,punishment,荆,加,茄,判,席,研,别,肺,师,HSK7-9
丹,dān,red,舟,召,另,牙,于,厅,亏,丐,尹,HSK7-9
赫,hè,glorious,胁,韧,协,狮,砌,规,憾,恢,拢,HSK7-9
艇,tǐng,light boat,搬,挺,饿,锻,糠,邀,魏,饶,酸,HSK7-9
凯,kǎi,triumphant,呢,坑,吭,剧,巩,现,别,罚,炯,HSK7-9
眉,méi,eyebrows,居,届,盾,肩,启,店,昼,倡,岸,HSK7-9
驱,qū,to urge on,躯,鸥,脑,抠,钢,骑,纲,恩,鸽,HSK7-9
柳,liǔ,willow,卿,聊,视,械,槐,梳,桃,卵,脚,HSK7-9
呈,chéng,submit,皇,旱,巨,曰,国,量,吾,章,吉,HSK7-9
腾,téng,to prance,膀,擎,搬,藤,颖,惑,磅,撼,鹤,HSK7-9
晋,jìn,to promote,曾,早,章,首,旱,兽,普,百,吾,HSK7-9
赤,chì,crimson,待,掠,亲,志,钥,宏,讶,拌,绊,HSK7-9
雾,wù,fog,擎,绩,惑,漾,慈,颖,诱,紫,窿,HSK7-9
丛,cóng,thicket,伏,侠,床,状,吹,庆,袱,份,价,HSK7-9
旨,zhǐ,purpose,皂,昏,皆,异,导,昆,指,尼,有,HSK7-9
抛,pāo,to toss,勃,扰,她,轨,撕,拢,城,拖,勘,HSK7-9
迈,mài,to stride,边,迟,近,远,选,访,送,过,迭,HSK7-9
诱,yòu,to entice,锈,绣,谤,饼,漾,饶,诞,钩,袋,HSK7-9
粒,lì,grain,粽,碰,继,栋,滥,标,惩,精,惊,HSK7-9
抚,fǔ,to comfort,扰,拐,抗,宪,玩,捉,巷,提,挟,HSK7-9
抑,yì,curb,仰,抒,批,拧,射,印,孙,饰,花,HSK7-9
哀,āi,grief,袁,衰,畏,衷,泉,表,丧,良,裳,HSK7-9
昆,kūn,descendants,毕,昂,号,皆,垦,肯,寻,享,皂,HSK7-9
伐,fá,to fell,代,龙,俄,侨,找,挨,袄,优,戈,HSK7-9
契,qì,contract,奥,势,染,族,养,突,膜,美,侯,HSK7-9
讼,sòng,to litigate,松,冷,公,冰,你,泳,炫,泌,饮,HSK7-9
尿,niào,urine,泉,腺,屎,房,痕,徒,脂,辰,钥,HSK7-9
芬,fēn,fragrance,盆,岔,秃,秀,芥,尖,龙,朵,奖,HSK7-9
蜂,fēng,bee,峰,蜘,蜓,择,铭,摊,橄,锋,摄,HSK7-9
苗,miáo,seedling,革,宙,丰,甘,苦,咀,亩,叶,岳,HSK7-9
丘,qiū,mound,舌,乓,乒,岳,岩,庄,告,土,古,HSK7-9
壳,ké,shell,亮,完,党,宪,克,竞,冠,旁,荒,HSK7-9
函,hán,envelope,抠,涵,商,却,捆,窄,菌,荐,帘,HSK7-9
昂,áng,high,昆,骨,肯,京,景,寻,扫,肖,宇,HSK7-9
夸,kuā,to exaggerate,李,奈,孕,旁,穿,争,穷,登,弈,HSK7-9
睁,zhēng,to open the eyes,蒲,踊,捧,摧,搓,择,眸,磋,桶,HSK7-9
携,xié,to take along,捞,拂,健,挺,截,攘,锈,艇,敷,HSK7-9
哼,hēng,snort,搞,词,崎,请,罚,谓,呜,祟,景,HSK7-9
胎,tāi,fetus,殆,怡,脂,朗,船,抬,钥,始,尿,HSK7-9
儒,rú,Confucian,糯,需,槛,篇,精,箭,锦,偏,傅,HSK7-9
姻,yīn,marriage,烟,如,矩,躯,脑,抠,洒,恼,牺,HSK7-9
卵,luǎn,eggs,射,视,既,祝,览,觉,附,预,巩,HSK7-9
遂,suì,to satisfy,逐,婆,姿,凌,逢,毅,隧,缘,矮,HSK7-9
